국가명,연도 2015,연도 2017,연도 2019,연도 2021
일본,855725,818626,824977,818865
중국,2585993,2548030,2461386,2350422
나우루,0,0,0,0
네팔,625,816,772,648
뉴질랜드,30174,33403,38114,33812
대만,4828,6293,5610,5527
동티모르,127,172,173,125
라오스,1890,2980,3050,1502
마셜제도,22,24,25,15
마이크로네시아,32,37,37,10
말레이시아,12690,13122,20861,13667
몰디브,29,28,30,8
몽골,2701,2710,2164,1545
미얀마,3106,3456,3860,2537
바누아투,43,46,64,60
방글라데시,1119,1039,1012,1611
베트남,108850,124458,172684,156330
부탄,8,8,8,12
브루나이,165,465,328,168
사모아,,0,0,0
솔로몬제도,34,58,74,80
스리랑카,894,840,1017,824
싱가포르,19450,20346,21406,20983
아프가니스탄,68,43,48,39
인도,10178,10390,11273,10674
인도네시아,40741,31091,22774,17297
캄보디아,8445,10089,11969,10608
쿡 제도,,0,0,0
키리바시공화국,1,11,11,6
태국,19700,20500,20200,18130
통가,18,15,19,18
투발루,0,0,0,0
파키스탄,812,781,721,673
파푸아뉴기니,172,180,201,161
팔라우,115,121,91,26
피지,906,1172,1389,1189
필리핀,89037,93093,85125,33032
호주,153653,180004,167331,158103
미국,2238989,2492252,2546982,2633777
캐나다,224054,240942,241750,237364
가이아나,0,0,0,0
과테말라,5162,5312,5501,5629
그레나다,5,13,37,60
니카라과,703,774,745,730
도미니카공화국,537,667,675,551
도미니카연방,0,0,0,0
멕시코,11484,11673,11897,11107
바베이도스,1,2,1,3
바하마,0,0,0,1
베네수엘라,351,516,185,154
벨리즈,21,24,21,15
볼리비아,737,648,654,557
브라질,50418,51531,48281,36540
세인트루시아,4,4,4,4
세인트빈센트그레나딘,0,0,0,0
세인트키츠네비스,0,0,0,0
수리남,54,54,52,48
아르헨티나,22730,23194,23063,22847
아이티,168,165,186,151
에콰도르,1080,733,714,653
엔티가바부다,0,0,0,0
엘살바도르,270,247,151,178
온두라스,249,286,293,172
우루과이,283,301,216,197
자메이카,122,94,92,116
칠레,2725,2635,2510,2402
코스타리카,493,461,434,405
콜롬비아,915,941,880,793
쿠바,20,33,41,32
